X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-74.9701206054304,40.1028472517099,2614,Jim Junod Recreation Center,5_12_YEARS,2012/01/01 00:00:00+00, ,2024 September Site Visits
-75.1175943375546,40.0429106380128,2615,Olney Recreation Center,5_12_YEARS,,Rebuild Renovations 2024,Nearmap 2024
-75.236444090584,39.9710385243882,2616,Carroll Park,UNKNOWN,2018/05/01 00:00:00+00, ,Nearmap 2023
-75.2107167901287,40.017798076431,2617,Sabatino La Noce Park,2_5_YEARS,, ,Nearmap 2023
-75.1072552131611,39.9822786306025,2618,Thomas P Stokley Recreation Center,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.0529896725632,40.0394475884287,2619,Mayfair Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.1603039390569,39.9818937441077,2620,Fletcher B Amos Playground,5_12_YEARS,2013/01/01 00:00:00+00, ,Nearmap 2023
-75.1741621467083,40.0058186354273,2621,Etting Park,UNKNOWN,, ,Nearmap 2023
-75.2495527632217,39.9513533949536,2622,Rufus O Williams Memorial Playground,5_12_YEARS,2022/07/22 00:00:00+00,Installed during 2022 renovations,"Nearmap 2023; Capital drawings 2023"
-75.147349552973,39.9831347568495,2623,8th and Diamond Playground,5_12_YEARS,2021/07/01 00:00:00+00,Installed 2020-2021 (Rebuild),Nearmap 2023
-75.2374880600354,39.9467548991874,2624,Sherwood Park,UNKNOWN,, ,Nearmap 2023
-75.2259563561277,39.9526244917349,2625,Malcolm X Memorial Park,UNKNOWN,, ,Nearmap 2023
-75.1833438181184,39.9482135598272,2626,William H (Billy) Markward Memorial Playground,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-75.08159351372,40.0410020071412,2627,Seymour Tarken Recreation Center,2_5_YEARS,2022/12/01 00:00:00+00,Site Renovated Fall 2021.,Nearmap 2023
-75.0212468418741,40.0438188979255,2628,Frankford and Solly Playground,UNKNOWN,, ,Nearmap 2023
-75.1708850664853,39.9145694221987,2629,Marconi Plaza,5_12_YEARS,,On the Southeast Side,Nearmap 2023
-75.1563397944911,40.0425788334015,2630,Belfield Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1506910613884,39.9210933840219,2631,Reverend Edward P Burke Playground,5_12_YEARS,, ,Nearmap 2023
-75.1178235369123,39.9814409680239,2632,Frederick Cione Playground,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.1791876762697,40.0474895941157,2633,Daniel E Rumph II Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1798659456073,39.9980909939079,2634,29th and Chalmers Playground,5_12_YEARS,2010/01/01 00:00:00+00, ,Nearmap 2023
-75.2006342662934,40.0759272772301,2635,Water Tower Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2479781542053,39.9588493804311,2636,Johnny Sample Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.1104384690301,40.0339834553939,2637,Garland and Bingham Fields,5_12_YEARS,, ,Nearmap 2023
-75.2034463173004,40.0225453670263,2638,David P Montgomery Field,5_12_YEARS,, ,Nearmap 2023
-75.188211702046,40.0577461474029,2639,Mount Airy Playground,5_12_YEARS,, ,Nearmap 2023
