Site Number,Pb_Content,Longitude,Latitude,
197,37,-75.112500,39.977500,
198,141,-75.112600,39.977500,
199,172,-75.112700,39.977500,
200,435,-75.112800,39.977400,
201,564,-75.113300,39.977200,
202,415,-75.113800,39.976800,
203,198,-75.114100,39.976700,
204,1027,-75.114400,39.976700,
205,221,-75.114600,39.976500,
206,522,-75.115100,39.976200,
207,324,-75.115800,39.975900,
208,74,-75.111500,39.978500,
209,46,-75.111500,39.978500,
210,207,-75.125000,39.975700,
211,42,-75.125100,39.975600,
212,50,-75.124800,39.975400,
213,99,-75.123800,39.974800,
214,67,-75.123100,39.974500,
215,223,-75.124100,39.973800,
216,1513,-75.124000,39.973700,
217,92,-75.123900,39.973500,
218,171,-75.123200,39.973700,
219,44,-75.122100,39.976800,
220,Not detected,-75.112000,39.976700,
221,370,-75.121700,39.976800,
222,325,-75.121700,39.976900,
223,89,-75.122100,39.976900,
224,323,-75.121600,39.977000,
225,600,-75.121400,39.976900,
226,334,-75.121000,39.976600,
227,64,-75.120300,39.976700,
228,84,-75.120400,39.976500,
229,166,-75.120500,39.976200,
230,353,-75.125100,39.973000,
231,292,-75.125100,39.973000,
232,383,-75.123000,39.973800,
233,338,-75.122900,39.973800,
234,225,-75.114300,39.976500,
235,280,-75.122200,39.974400,
236,466,-75.123400,39.975200,
237,79,-75.124100,39.975700,
238,64,-75.124500,39.975900,
239,449,-75.123500,39.974500,
240,182,-75.125900,39.977400,
241,131,-75.125500,39.977700,
242,461,-75.120000,39.977500,
243,736,-75.119200,39.979400,
244,118,-75.119100,39.979200,
245,25,-75.119300,39.978900,
246,645,-75.119700,39.978300,
247,3226,-75.119900,39.978300,
248,1900,-75.120100,39.978200,
249,466,-75.120300,39.978200,
250,105,-75.117300,39.975400,
251,171,-75.117800,39.975100,
252,330,-75.118500,39.975100,
253,125,-75.117800,39.975600,
254,215,-75.118000,39.976200,
255,995,-75.118500,39.976600,
256,37,-75.118600,39.976700,
257,790,-75.119000,39.976200,
258,188,-75.119100,39.975700,
259,239,-75.118800,39.975200,
260,351,-75.118800,39.975100,
261,249,-75.118800,39.974900,
262,341,-75.120500,39.973600,
263,278,-75.120600,39.973500,
264,274,-75.120700,39.973500,
265,319,-75.120800,39.973500,
266,1101,-75.121000,39.973500,
267,334,-75.121100,39.973400,
268,818,-75.121200,39.973400,
269,286,-75.121500,39.973400,
270,250,-75.121600,39.973400,
271,296,-75.121600,39.973700,
272,403,-75.121600,39.974300,
273,390,-75.121600,39.974400,
274,437,-75.121500,39.974600,
275,212,-75.121400,39.974700,
276,1138,-75.121800,39.976000,
277,291,-75.121700,39.976000,
278,161,-75.121600,39.976000,
279,327,-75.121500,39.976200,
280,235,-75.121500,39.976200,
281,489,-75.121500,39.976300,
282,1186,-75.121600,39.976300,
283,22,-75.122400,39.976700,
284,150,-75.120600,39.976100,
285,224,-75.120600,39.976000,
286,180,-75.120700,39.975900,
287,83,-75.120700,39.975800,
288,82,-75.120300,39.976700,
289,98,-75.120200,39.976700,
290,66,-75.119000,39.979700,
291,142,-75.119000,39.979400,
292,20,-75.118900,39.979500,
293,64,-75.118700,39.979400,
294,180,-75.118500,39.979300,
295,147,-75.118500,39.979500,
296,304,-75.118300,39.979700,
297,325,-75.118200,39.979900,
298,170,-75.118000,39.980400,
299,167,-75.117900,39.980600,
300,211,-75.117800,39.980800,
301,873,-75.117700,39.981000,
302,777,-75.117600,39.981300,
303,270,-75.117700,39.981600,
304,216,-75.117900,39.981700,
305,242,-75.118200,39.981100,
306,220,-75.118400,39.981100,
307,249,-75.119100,39.980600,
308,97,-75.119300,39.980500,
309,25,-75.119200,39.980400,
310,465,-75.129200,39.969100,
311,319,-75.131500,39.969400,
312,175,-75.131500,39.969600,
313,84,-75.131200,39.969800,
314,275,-75.129500,39.968600,
315,386,-75.127600,39.969400,
316,660,-75.129540,39.968764,
317,612,-75.129480,39.968781,
318,801,-75.129397,39.968803,
319,642,-75.129260,39.968815,
320,425,-75.127000,39.969500,
321,147,-75.127200,39.970000,
322,497,-75.130100,39.970800,
323,83,-75.130700,39.971100,
324,173,-75.130300,39.971200,
325,203,-75.130000,39.971300,
326,617,-75.129606,39.971945,
327,867,-75.129564,39.971866,
328,522,-75.129498,39.971928,
329,312,-75.129409,39.971955,
330,427,-75.129430,39.971996,
331,62,-75.110600,39.980300,
332,33,-75.209587,39.949023,
333,171,-75.209201,39.949030,
334,130,-75.210395,39.948781,
335,134,-75.209921,39.947623,
336,378,-75.209781,39.947119,
337,168,-75.209359,39.947872,
338,321,-75.209816,39.947758,
339,191,-75.209631,39.947469,
340,232,-75.209105,39.947099,
341,269,-75.210053,39.946910,
342,76,-75.217044,39.942399,
343,109,-75.217044,39.942366,
344,45,-75.217148,39.942105,
345,150,-75.217258,39.942044,
346,28,-75.217588,39.942194,
347,20,-75.217767,39.942377,
348,243,-75.218245,39.942874,
349,131,-75.216637,39.943267,
350,277,-75.210094,39.942395,
351,188,-75.209743,39.941969,
352,274,-75.210188,39.941978,
353,212,-75.210859,39.942002,
354,177,-75.209951,39.941491,
355,30,-75.149900,39.996843,
356,67,-75.149757,39.996913,
357,19,-75.149249,39.996756,
358,59,-75.148962,39.996756,
359,147,-75.151884,39.985948,
360,196,-75.151739,39.985997,
361,32,-75.151548,39.986163,
362,138,-75.151637,39.986258,
363,201,-75.152111,39.986384,
364,134,-75.100080,40.046632,
365,104,-75.100509,40.046236,
366,79,-75.100909,40.045982,
367,68,-75.100904,40.045736,
368,75,-75.101195,40.045929,
369,117,-75.102232,40.046609,
370,112,-75.103093,40.047165,
371,51,-75.102355,40.047465,
372,16,-75.101705,40.047615,
373,68,-75.101245,40.047381,
374,84,-75.198013,39.960359,
375,1072,-75.198388,39.960662,
376,55,-75.198989,39.960539,
377,49,-75.199124,39.960332,
378,102,-75.199047,39.959698,
379,320,-75.198731,39.959533,
380,68,-75.198792,39.959738,
381,114,-75.199082,39.959694,
382,541,-75.199539,39.959957,
383,92,-75.198776,39.959914,
